title,company,city,posted_at,url,source,skills,n_skills,seniority,role_family
Industrial Big Data Engineer: Real-Time Analytics,INTECH,Ad Dammām,2026-03-01T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/5198734648946982912?trk=bingjobs,jsearch,Power BI|Tableau|ETL|Hadoop|Dashboards/Reporting,5,Mid,Data Engineer
Industrial Big Data Engineer: Real-Time Analytics & Pipelines,INTECH Process Automation,Ad Dammām,2026-09-02T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3334707267546120192?trk=bingjobs,jsearch,Power BI|Tableau|ETL|Hadoop|Communication|Dashboards/Reporting,6,Mid,Data Engineer
"Require A Planning Engineer In Dammam,Saudi Arabia",TestHiring,Ad Dammām,2026-06-13T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/9205778396963930112?trk=bingjobs,jsearch,Communication,1,Lead/Manager+,Other Data Role
"Require A HSE Engineer In Dammam,Saudi Arabia",TestHiring,Ad Dammām,2026-06-22T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3359637207647256576?trk=bingjobs,jsearch,Communication,1,Lead/Manager+,Other Data Role
RCM Electrical Engineer - Reliability Lead In Saudi Arabia,Hudson Manpower,Ad Dammām,2026-09-06T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/5480302229447507968?trk=bingjobs,jsearch,SAP,1,Lead/Manager+,Other Data Role
Data Scientist - Saudi Arabia,twentysix,Riyadh,2026-09-04T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/396055459250831360?trk=bingjobs,jsearch,Machine Learning|Data Governance,2,Mid,Data Scientist
Data Analyst Vacancy In Riyadh Saudi Arabia,PPOAR,Riyadh,2026-08-01T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/996562049817378816?trk=bingjobs,jsearch,Excel|Statistics|Dashboards/Reporting,3,Mid,Data Analyst
Senior SAP Business Analyst (Saudi Arabia),Eram Talent,Ad Dammām,2026-06-26T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1695874629316378624?trk=bingjobs,jsearch,SQL|Power BI|ETL|Machine Learning|Agile|SAP|Data Governance|Communication|Dashboards/Reporting,9,Senior,Data Analyst
Business Analyst,Silver Edge Arabia,Ad Dammām,2026-06-02T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/4231919604898725888?trk=bingjobs,jsearch,Excel|Machine Learning|Arabic|Communication,4,Mid,Data Analyst
AI-Enablement Business Analyst (BPMN  Arabic),Silver Edge Arabia,Ad Dammām,2026-08-01T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/668531551763431424?trk=bingjobs,jsearch,Arabic|Communication,2,Mid,Data Scientist
"Business Development Manager, Saudi Arabia",Hunter Amenities International Ltd.,Ad Dammām,2026-08-17T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/6689057089131642880?trk=bingjobs,jsearch,Communication|Dashboards/Reporting,2,Lead/Manager+,Other Data Role
Business Development Specialist - Recruitment Industry (Saudi Arabia),Eram Talent,Al Khubar,2026-05-23T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/560879459209576448?trk=bingjobs,jsearch,Communication,1,Mid,Other Data Role
HR Business Partner I Industrial I Saudi Arabia,Rawaj HCM Jobs,Ad Dammām,2026-03-06T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1501802928569057280?trk=bingjobs,jsearch,Arabic,1,Lead/Manager+,Other Data Role
HR Business Partner  I Industrial   I Saudi Arabia,Rawaj - Human Capital Management,Ad Dammām,2026-03-03T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3803828158533206016?trk=bingjobs,jsearch,Arabic,1,Lead/Manager+,Other Data Role
Business Analyst - Venture Building Team,Jobs for Humanity,Ad Dammām,2026-01-24T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/5076504672886325248?trk=bingjobs,jsearch,SQL|Excel|Communication|Dashboards/Reporting,4,Lead/Manager+,Data Analyst
Business System Analyst - Relocation To Saudi Arabia,Aramco,Riyadh,2026-08-03T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1788072106689298432?trk=bingjobs,jsearch,Python|SQL|AWS|Azure|GCP|Machine Learning|GenAI / LLMs|SAP,8,Lead/Manager+,Data Analyst
Business Application Analyst,the coca cola bottling company of saudi arabia,Riyadh,2026-05-04T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/2134182157906608128?trk=bingjobs,jsearch,Python|Java|Power BI|SAP|Dashboards/Reporting,5,Senior,Data Analyst
Senior Business Analyst,Link x Talent,Riyadh,2026-09-08T01:43:36.000Z,https://sa.linkedin.com/jobs/view/senior-business-analyst-at-link-x-talent-4462286370?trk=bingjobs,jsearch,SQL|Power BI|Azure|Agile|Communication|Dashboards/Reporting,6,Senior,Data Analyst
Business Officer (Saudi Arabia),Eram Talent,Riyadh,2026-05-12T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/6605872480370294784?trk=bingjobs,jsearch,SAP|Communication|Dashboards/Reporting,3,Senior,Other Data Role
Banking Analytics Power BI Leader Onsite Saudi Arabia,Flint Middle-East,Riyadh,2026-08-08T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/8360525182388928512?trk=bingjobs,jsearch,Python|SQL|Power BI|ETL|SAP|Dashboards/Reporting,6,Senior,BI Developer
"Business Development Manager (Saudi Arabia, Riyadh)",Medium,Riyadh,2026-08-06T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/8516939782410993664?trk=bingjobs,jsearch,Arabic|Communication,2,Lead/Manager+,Other Data Role
Business Development Representative - Saudi Arabia,Checkout,Riyadh,2026-07-17T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/7585169098812686336?trk=bingjobs,jsearch,Arabic|Communication,2,Mid,Other Data Role
"Business Development Manager - Riyadh, Saudi Arabia",westernunion,Riyadh,2026-09-05T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/92725489914871808?trk=bingjobs,jsearch,Arabic|Communication,2,Lead/Manager+,Other Data Role
"Business Development Manager (Saudi Arabia, Riyadh)",AJAX SYSTEMS CH,Riyadh,2026-07-17T00:00:00.000Z,https://www.bayt.com/en/saudi-arabia/jobs/business-development-manager-saudi-arabia-riyadh-74895640/?trk=bingjobs,jsearch,Arabic|Communication,2,Lead/Manager+,Other Data Role
Business Development Executive– Saudi Arabia (Salary+Commission),infinityattires,RIY,2026-09-07T06:11:21.000Z,https://sa.linkedin.com/jobs/view/business-development-executive%E2%80%93-saudi-arabia-salary%2Bcommission-at-infinity-attires-4462219370?trk=bingjobs,jsearch,Arabic,1,Mid,Other Data Role
Business Development Manager Riyadh Saudi Arabia,ESR $$high pay$$ bnty,Riyadh,2026-04-05T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/7628339507321896960?trk=bingjobs,jsearch,Arabic|Communication,2,Lead/Manager+,Other Data Role
Business Development Manager  Saudi Arabia,Rawaj - Human Capital Management,Riyadh,2025-11-30T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/4223575922256642048?trk=bingjobs,jsearch,Communication,1,Lead/Manager+,Other Data Role
New Logo  Business Development Manager – Saudi Arabia In Riyadh,www.cardandpaymentjobs.com,Riyadh,2026-04-25T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/7667416476990570496?trk=bingjobs,jsearch,Arabic|Communication,2,Lead/Manager+,Other Data Role
Business Development Manager  Saudi Arabia,Rawaj HCM Jobs,Riyadh,2025-12-04T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1688624307908902912?trk=bingjobs,jsearch,Communication,1,Lead/Manager+,Other Data Role
"Business Development Manager (Saudi Arabia, Riyadh)",Ajax Systems,Riyadh,2026-07-16T16:40:06.000Z,https://sa.linkedin.com/jobs/view/business-development-manager-saudi-arabia-riyadh-at-ajax-systems-4441677837?trk=bingjobs,jsearch,Arabic|Communication,2,Lead/Manager+,Other Data Role
"Data Analyst In Riyadh, Saudi Arabia",Woopel,Riyadh,2026-08-19T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/1884781765034246144?trk=bingjobs,jsearch,SQL|Statistics|Arabic,3,Mid,Data Analyst
"Cloud Machine Learning Engineer - Riyadh, KSA",Qualcomm,Al Khubar,2026-07-13T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/6540110887481507840?trk=bingjobs,jsearch,Python|Java|Machine Learning|Deep Learning|NLP|GenAI / LLMs,6,Mid,Data Scientist
Machine Learning Scientist,Silver Edge Arabia,Ad Dammām,2026-07-24T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/7967810346553442304?trk=bingjobs,jsearch,Python|SQL|GCP|Spark|Airflow|Data Warehousing|Machine Learning|Deep Learning|Statistics|Git|Docker/K8s|Dashboards/Reporting,12,Senior,Data Scientist
Principal AI Engineer,Tandem Search,الخبر,2026-08-25T02:38:46.000Z,https://sa.linkedin.com/jobs/view/principal-ai-engineer-at-tandem-search-4456916167?trk=bingjobs,jsearch,Machine Learning|Deep Learning|GenAI / LLMs|Statistics,4,Lead/Manager+,Data Scientist
RCM Engineer  Saudi Arabia,Hudson Manpower,Ad Dammām,2026-08-10T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/3544243689532424192?trk=bingjobs,jsearch,SAP,1,Lead/Manager+,Other Data Role
Machine Learning Engineer,Ethra Human Resources,Al Khubar,2026-08-20T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/5105141921383186432?trk=bingjobs,jsearch,Python|SQL|GCP|Spark|Airflow|Data Warehousing|Machine Learning|Deep Learning|Statistics|Git|Docker/K8s|Dashboards/Reporting,12,Senior,Data Scientist
Cloud Engineer (Saudi Arabia),Eram Talent,Ad Dammām,2026-08-16T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/7882252605152296960?trk=bingjobs,jsearch,AWS|Azure|GCP,3,Junior/Entry,Other Data Role
Civil Engineer Vacancy In Riyadh Saudi Arabia,Flyper,Riyadh,2026-08-15T00:00:00.000Z,https://sa.jobrapido.com/jobpreview/552352291269640192?trk=bingjobs,jsearch,Communication,1,Mid,Other Data Role
